movieId,type
1334, 1 2,
1335, 2 3 ,
1336, 2 3,
1337, 2 4 1,
1338, 2 5 3 6,
1339, 2 3 ,
1340, 2  ,
1341, 2  6,
1342, 2 7 9 8,
1343, 2,
1344, 2 ,
1345, 2 5 3 ,
1346, 2 7,
1347, 7  8,
1348, 2 ,
1349, 2 7 8,
1350, 5 3  ,
1351, 2,
1352, 5  8,
1353, 2 1 9,
1354,   8,
1355, 2 1,
1356, 2  ,
1357, 2 5 3,
1358, 2 5,
1359, 2 4 7 1 ,
1360, 2 1 9,
1361, 2  ,
1362, 2  3 6,
1363, 5   ,
1364, 2  ,
1365, 2   ,
1366, 2 4  8,
1367, 2  8,
1368, 2,
1369, 2 5  8,
1370, 2,
1371, 2  6,
1372,   8,
1373, 5 3  ,
1374,   8,
1375, 2,
1376, 2 3,
1377, 5 2 3,
1378, 2,
1379, 2,
1380, 2 4 9 ,
1381,  8,
1382, 2 5,
1383, 2,
1384, 2 1,
1385,  8 ,
1386, 2 9,
1387, 2 4  8,
1434, 2,
1435, 2 3 ,
1436,  8,
1437, 2 3,
1438, 2 9 ,
1439, 2,
1440, 2 5 ,
1441, 2 1 9 ,
1442,  9 7 ,
1443, 2 3,
1444, 2,
1445, 2 5 ,
1446, 2 3 ,
1447, 2 3 ,
1448, 2 ,
1449, 5 3 ,
1450, 2   8,
1451, 2 4 7 1 ,
1452, 2 5,
1453, 3   ,
1454, 5   ,
1455, 2,
1456, 2 3,
1457,   8,
1458, 2 3  ,
1459, 5 4 7  8,
1460, 5 2 3,
1461, 2,
1462, 2 1 9,
1463, 2 5,
1464, 2 3,
1465,   8,
1466, 5  8,
1467, 2 1,
1468,  5   8,
1469, 5   8,
1470,   8,
1471, 2   6,
1472, 1 2,
1473, 2 3,
1474, 5 3 ,
1475, 4 5 1 ,
1476, 9  ,
1477, 2 1,
1478, 2 5 3  ,
1479, 4 9 ,
1480, 2 4 1,
1481, 2 ,
1482, 2 4  8,
1534, 4 7,
1535, 2 3,
1536, 2 3 6 ,
1537, 2 3 6,
1538, 2 5 3,
1539, 2 1 ,
1540, 2 3 7 ,
1541, 2 1,
1542, 1 2  9,
1543, 7  8,
1544, 2 5,
1545, 2 1,
1546, 2 1,
1547, 1 2 3,
1548, 4 3  ,
1549, 7 9 ,
1550, 5 2 3,
1551, 2 1 ,
1552, 4 9 ,
1553, 4 9 ,
1554, 2 3  ,
1555, 2  ,
1556, 2 1,
1557, 2 1,
1558, 2  8,
1559, 2 3 ,
1560, 8 5 2,
1561, 2 ,
1562, 2 3,
1563, 2 5 1,
1564, 2 ,
1565, 7 9 ,
1566, 4 7 8,
1567, 2 5 4,
1568, 5 3 ,
1569, 2 ,
1570, 2 5,
1571, 2 ,
1572, 1 9 ,
1573, 2 ,
1574, 4  6,
1575, 2 7 ,
1576, 2 3,
